BNCC_Indice,BNCC_Codigo,BNCC_Eixo,BNCC_Objetivo,BNCC_Exemplos,Curriculo_Indice,Curriculo_Codigo,Curriculo_Eixo,Curriculo_Objetivo,Curriculo_Exemplos,Similaridade,Similaridade_Percentual,Nota_Corte_Usada,Data_Analise
1,(EI03CO01),PENSAMENTO COMPUTACIONAL,"(EI03CO01) Reconhecer padrão de repetição em sequência de sons, movimentos, desenhos.","Computação plugada:
1) Criar padrões de repetição em sequência com formas e cores diferentes:
(i) por meio de editor de desenho;
(ii) por meio de ferramenta online (Pattern Shapes: https://apps.mathlearningcenter.org/pattern-shapes/).
2) Completar a sequência de figuras de acordo com o padrão estabelecido por meio de jogo online:
(i) Shape Pattern (https://www.topmarks.co.uk/ordering-and-sequencing/shape-patterns);
(ii) Chicken Dance (https://pbskids.org/peg/games/chicken-dance).
Computação desplugada:
1) Perceber, por meio de tarefas de sua rotina, a repetição de movimentos:
(i) comer um sanduíche (morder, mastigar, engolir);
(ii) respirar (inspirar, expirar).
2) Reconhecer padrão por meio de sons do próprio corpo:
(i) Perguntar às crianças se sabem o que é um padrão;
(ii) Escolher uma música produzida com sons do corpo;
(iii) E, após ouvir, fazer questionamentos como: Alguma coisa nessa música repete? O quê? Qual padrão você
conseguiu observar? Você consegue reproduzir?
3) Criar uma sequência a partir de um padrão de cores ou formas semelhantes, indicando a quantidade de
repetições por meio de blocos de montar ou outros materiais",128,(EI03ET02ME02),"ESPAÇOS, TEMPOS, QUANTIDADES E RELAÇÕES","(EI03ET02ME02) Vivenciar situações e experiências que envolvam misturas, transformações, gravidades.","Nomear e descrever características e semelhanças frente aos fenômenos da natureza, estabelecendo algumas relações de causa e efeito, levantando hipóteses, utilizando diferentes técnicas e instrumentos para reconhecer algumas características e consequências para a vida das pessoas. Reunir informações de diferentes fontes para descobrir por que as coisas acontecem e como funcionam, registrando e comunicando suas descobertas de diferentes formas (oralmente, por meio da escrita, da representação gráfica, de encenações etc.). Reconhecer características geográficas e paisagens que identificam os lugares onde vivem, destacando aqueles que são típicos de sua região. Observar fenômenos naturais por meio de diferentes recursos e experiências. Utilizar a água para satisfazer suas necessidades (hidratação, higiene pessoal, alimentação, limpeza do espaço, etc.). Identificar os elementos e características do dia e da noite. Investigar e registrar as observações a seu modo, sobre os fenômenos e mistérios da natureza. Identificar os fenômenos naturais por meio de diferentes recursos e experiências. Observar o céu em diferentes momentos do dia. Expressar suas observações pela oralidade e registros. Experimentar sensações físicas, táteis em diversas situações da rotina. Observar e relatar sobre: o vento, a chuva, a luz do sol e outros. Experienciar simulações do dia e da noite com presença e ausência de luz e sol/lua. Explorar o efeito da luz por meio da sua presença ou ausência (luz e sombra). Explorar os quatro elementos por meio de experimentos (terra, fogo, ar e água). Fazer registros de suas observações por meio de desenhos, fotos, relatos, escrita espontânea e convencional. Fazer misturas, provocando mudanças físicas e químicas na realização de atividades de culinária, pinturas e experiências com água, terra, argila e outros. Perceber os elementos (terra, fogo, ar e água) enquanto produtores de fenômenos da natureza e reconhecer suas ações na vida humana (chuva, seca, frio e calor). Manipular tintas de diferentes cores e misturá-las identificando as cores que surgem, e registrando as constatações.",0.5558226,55.6%,55.00000000000001%,2025-09-02 15:50:02
2,(EI03CO02),PENSAMENTO COMPUTACIONAL,(EI03CO02) Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.,"Computação plugada:
1) Experienciar as etapas de execução de tarefas, discutindo como as tarefas são divididas em etapas a partir
de jogos digitais como:
(i) Cookie Monsters Foodie Truck (https://pbskids.org/sesame/games/cookie-monsters-foodie-truck/);
(ii) Ready Set Grow (https://pbskids.org/sesame/games/ready-set-grow/).
Computação desplugada:
1) Expressar as etapas de realização de tarefas diárias por meio de desenhos ou de forma oral;
2) Ordenar uma sequência de imagens que representam as etapas de uma tarefa diária.
Exemplo de uma tarefa diária - Hora de dormir:
(i) tomar banho,
(ii) colocar pijama,
(iii) escovar os dentes,
(iv) ouvir uma história,
(v) dormir.",211,(EI02EO02),"O EU, O OUTRO E O NÓS",(EI02EO02) Demonstrar imagem positiva de si e confiança em sua capacidade para enfrentar dificuldades e desafios.,"Explorar progressivamente o próprio corpo para conhecê-lo, percebendo suas capacidades e limitações. Reconhecer sua imagem corporal no espelho ou em fotos. Brincar com o corpo por meio de gestos e movimentos. Identificar partes do corpo e mostrar correspondências com as dos colegas. Perceber características e habilidades corporais na realização de tarefas simples. Cuidar da apresentação pessoal e de seus pertences. Expressar emoções e sentimentos de maneira que seus hábitos, ritmos e preferências individuais sejam respeitados pelo grupo. Participar de momentos de escolha, manifestando interesses e curiosidades. Realizar atividades que exijam autonomia, como trazer ou levar objetos dentro da sala quando solicitado. Solicitar ajuda quando estiver com dificuldades e ajudar os colegas quando necessário. Conhecer sua identidade, seu nome, suas histórias e suas características.",0.61649364,61.6%,55.00000000000001%,2025-09-02 15:50:02
2,(EI03CO02),PENSAMENTO COMPUTACIONAL,(EI03CO02) Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.,"Computação plugada:
1) Experienciar as etapas de execução de tarefas, discutindo como as tarefas são divididas em etapas a partir
de jogos digitais como:
(i) Cookie Monsters Foodie Truck (https://pbskids.org/sesame/games/cookie-monsters-foodie-truck/);
(ii) Ready Set Grow (https://pbskids.org/sesame/games/ready-set-grow/).
Computação desplugada:
1) Expressar as etapas de realização de tarefas diárias por meio de desenhos ou de forma oral;
2) Ordenar uma sequência de imagens que representam as etapas de uma tarefa diária.
Exemplo de uma tarefa diária - Hora de dormir:
(i) tomar banho,
(ii) colocar pijama,
(iii) escovar os dentes,
(iv) ouvir uma história,
(v) dormir.",27,(EI03EF06ME03),"ESCUTA, FALA, PENSAMENTOS E IMAGINAÇÃO","(EI03EF06ME03) Vivenciar práticas de produções de escrita e de textos coletivos, com função social, tendo a professora como escriba.","Nomear objetos, pessoas, personagens, fotografias e gravuras para ampliar seu vocabulário. Participar de atividades onde usa a linguagem oral, a seu modo, usando expressões da linguagem da narrativa. Criar histórias e as representa graficamente (desenho) a partir de imagens ou temas sugeridos. Diferenciar desenho, letra e número em suas produções espontâneas. Expressar hipóteses a respeito da escrita de letras e números, registrando símbolos para representar ideias. Produzir escritas espontâneas, utilizando letras como marcas gráficas. Ler, a seu modo, textos literários e seus próprios registros gráficos para outras crianças.",0.5594783,55.9%,55.00000000000001%,2025-09-02 15:50:02
2,(EI03CO02),PENSAMENTO COMPUTACIONAL,(EI03CO02) Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.,"Computação plugada:
1) Experienciar as etapas de execução de tarefas, discutindo como as tarefas são divididas em etapas a partir
de jogos digitais como:
(i) Cookie Monsters Foodie Truck (https://pbskids.org/sesame/games/cookie-monsters-foodie-truck/);
(ii) Ready Set Grow (https://pbskids.org/sesame/games/ready-set-grow/).
Computação desplugada:
1) Expressar as etapas de realização de tarefas diárias por meio de desenhos ou de forma oral;
2) Ordenar uma sequência de imagens que representam as etapas de uma tarefa diária.
Exemplo de uma tarefa diária - Hora de dormir:
(i) tomar banho,
(ii) colocar pijama,
(iii) escovar os dentes,
(iv) ouvir uma história,
(v) dormir.",138,(EI03ET0701),"ESPAÇOS, TEMPOS, QUANTIDADES E RELAÇÕES",(EI03ET0701) Iniciar o processo de representação simbólica das ideias de adição (juntar e acrescentar) e subtração (retirar e diminuir).,"Perceber quantidades nas situações rotineiras. Comunicar oralmente suas ideias, suas hipóteses e estratégias utilizadas em contextos de resolução de problemas matemáticos. Ler e nomear alguns números, usando a linguagem matemática para construir relações, realizar descobertas e enriquecer a comunicação em momentos de brincadeiras, em atividades individuais, de grandes ou pequenos grupos. Realizar contagem em situações cotidianas: quantidade de meninas e meninos da turma, de objetos variados, de mochilas, de bonecas e outras. Contar objetos, brinquedos e alimentos e dividir entre as crianças. Representar numericamente as quantidades identificadas em diferentes situações estabelecendo a relação entre número e quantidade. Utilizar a contagem oral nas diferentes situações do cotidiano por meio de manipulação de objetos e atividades lúdicas como parlendas, músicas e adivinhas, desenvolvendo o reconhecimento de quantidades. Representar e comparar quantidades em contextos diversos (desenhos, objetos, brincadeiras, jogos e outros) de forma convencional ou não convencional, ampliando progressivamente a capacidade de estabelecer correspondência entre elas. Realizar agrupamentos utilizando como critérios a quantidade possibilitando diferentes possibilidades de contagem. Identificar a função social do número em diferentes contextos (como quadro de aniversários, calendário, painel de massas e medidas, número de roupa) reconhecendo a sua utilidade no cotidiano. Compreender situações que envolvam as ideias de divisão (ideia de repartir) com base em materiais concretos, ilustrações, jogos e brincadeiras para o reconhecimento dessas ações em seu cotidiano. Elaborar e resolver problemas que envolvam as ideias de adição e subtração com base em materiais manipuláveis, registros espontâneos e/ou convencionais jogos e brincadeiras para reconhecimento dessas situações em seu dia a dia. Ter contato e utilizar de noções básicas de quantidade: muito/pouco, mais/menos, um/nenhum/muito. Reconhecer posições de ordem linear como ""estar entre dois"", direita/esquerda, frente/atrás. Estabelecer a relação de correspondência (termo a termo) a quantidade de objetos de dois conjuntos; Identificar o que vem antes e depois em uma sequência de objetos, dias da semana, rotina diária e outras situações significativas. Identificar a sequência numérica até 31 ampliando essa possibilidade. Comparar quantidades por estimativa ou correspondência biunívoca. Contar até 20, estabelecendo relação número e quantidade e ampliando essa possibilidade usando material concreto como tampinhas, palitos, etc. Participar de situações em que seja estimulada a realizar o cálculo mental através de situações simples de soma e subtração. Seriar objetos números e formas em sequências lógicas de acordo com os padrões previamente definidos.",0.55821586,55.8%,55.00000000000001%,2025-09-02 15:50:02
2,(EI03CO02),PENSAMENTO COMPUTACIONAL,(EI03CO02) Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.,"Computação plugada:
1) Experienciar as etapas de execução de tarefas, discutindo como as tarefas são divididas em etapas a partir
de jogos digitais como:
(i) Cookie Monsters Foodie Truck (https://pbskids.org/sesame/games/cookie-monsters-foodie-truck/);
(ii) Ready Set Grow (https://pbskids.org/sesame/games/ready-set-grow/).
Computação desplugada:
1) Expressar as etapas de realização de tarefas diárias por meio de desenhos ou de forma oral;
2) Ordenar uma sequência de imagens que representam as etapas de uma tarefa diária.
Exemplo de uma tarefa diária - Hora de dormir:
(i) tomar banho,
(ii) colocar pijama,
(iii) escovar os dentes,
(iv) ouvir uma história,
(v) dormir.",267,(EI02EO02),"O EU, O OUTRO E O NÓS",(EI02EO02) Demonstrar imagem positiva de si e confiança em sua capacidade para enfrentar dificuldades e desafios.      ,"• Reconhecer sua imagem corporal no espelho ou em fotos. • Perceber características e possibilidades corporais na conquista de objetivos simples. • Cuidar da imagem de si mesmo por meio da sua apresentação pessoal e zelo com os seus pertences. • Expressar suas emoções e sentimentos de modo que seus hábitos, ritmos e preferências individuais sejam respeitados no grupo em que convive. • Realizar escolhas manifestando interesse e curiosidade. • Enfrentar desafios em brincadeiras e jogos para desenvolver confiança em si próprio. • Realizar atividades que exijam autonomia, como entregar objetos ou materiais aos colegas quando solicitada. • Reconhecer sua identidade, seu nome, suas histórias e características. • Solicitar ajuda quando está em dificuldade e auxiliar o colega quando este necessita.",0.55672026,55.7%,55.00000000000001%,2025-09-02 15:50:02
2,(EI03CO02),PENSAMENTO COMPUTACIONAL,(EI03CO02) Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.,"Computação plugada:
1) Experienciar as etapas de execução de tarefas, discutindo como as tarefas são divididas em etapas a partir
de jogos digitais como:
(i) Cookie Monsters Foodie Truck (https://pbskids.org/sesame/games/cookie-monsters-foodie-truck/);
(ii) Ready Set Grow (https://pbskids.org/sesame/games/ready-set-grow/).
Computação desplugada:
1) Expressar as etapas de realização de tarefas diárias por meio de desenhos ou de forma oral;
2) Ordenar uma sequência de imagens que representam as etapas de uma tarefa diária.
Exemplo de uma tarefa diária - Hora de dormir:
(i) tomar banho,
(ii) colocar pijama,
(iii) escovar os dentes,
(iv) ouvir uma história,
(v) dormir.",277,(EI02TS02),"TRAÇOS, SONS, CORES E FORMAS","(EI02TS02) Utilizar materiais variados com possibilidades de manipulação (argila, massa de modelar), explorando cores, texturas, superfícies, planos, formas e volumes ao criar objetos tridimensionais.","•    Manipular diversos materiais das Artes Visuais  e  plásticas  explorando  os  cinco sentidos. •    Manipular materiais de diferentes texturas: lisas, ásperas, macias e outras. •    Observar e manipular objetos e identificar   características   variadas   como:   cor, textura, tamanho, forma, odor, temperatura, utilidade, entre outros classificando-os. •    Explorar  formas  variadas  dos  objetos para   perceber   as   características   das mesmas. •    Conhecer  objetos  e  materiais  que  são típicos  da  região,  comunidade  ou  cultura local. •    Experimentar diversas possibilidades de representação   visual   bidimensionais   e tridimensionais. •    Experimentar  possibilidades  de  representação visual tridimensional, utilizando materiais  diversos:  caixas,  embalagens, tecidos,  tampinhas,  massa  de  modelar, argila e outros. •    Criar produtos com massa de modelar ou argila  a  partir  de  seu  próprio  repertório, explorando  diferentes  elementos,  como: forma, volume, textura etc. •    Explorar e aprofundar suas descobertas em  relação  a  procedimentos  necessários para modelar e suas diferentes possibilidades de manuseio a partir de sua intencionalidade. •    Experimentar   e   explorar   superfícies tridimensionais   com   texturas   diversas: pedrinhas,  sementes,  algodão,  argila  e outros. •    Cuidar e apreciar a sua própria produção e dos colegas. •    Manipular jogos de encaixe e de construção, explorando cores, formas e texturas, planos e volumes. •    Apreciar   e   oralizar   sobre   diferentes obras de arte tridimensionais.",0.55035305,55.0%,55.00000000000001%,2025-09-02 15:50:02
3,(EI03CO03),PENSAMENTO COMPUTACIONAL,(EI03CO03) Experienciar a execução de algoritmos brincando com objetos (des)plugados.,"Computação plugada:
1) Experienciar a execução de algoritmos por meio de
(i) jogos digitais (e.g. Follow the Code: https://www.mathplayground.com/follow_the_code.html);
(ii) brinquedos robóticos (e.g. Rope: http://smartfunbrasil.com/).
Computação desplugada:
1) Experienciar a execução de algoritmos por meio de percursos realizados a partir de desenhos no chão (ou
maquetes) como, por exemplo:
(i) jogos de labirinto;
(ii) amarelinha;
(iii) sequências de números;
(iv) sequências de cores;
2) Experienciar a execução de algoritmos por meio de atividades manuais (e.g. dobraduras, bordado, costura).
Exemplo: Executar o seguinte algoritmo
Passo (1) - Pegar uma folha de papel sulfite;
Passo (2) - Dobrar esta folha ao meio;
Passo (3) - Dobrar novamente ao meio;
Passo (4) - Dobrar novamente ao meio;
Avaliar o resultado refletindo sobre: (a) Quantas vezes pode-se repetir este passo? e (b) Existem formas
diferentes de dobrar o papel ao meio?",169,(EI01EF07),"ESCUTA, FALA, PENSAMENTOS E IMAGINAÇÃO","(EI01EF07) Conhecer e manipular materiais impressos e audiovisuais em diferentes portadores (livro, revista, gibi, jornal, cartaz, CD, tablet etc.).","- Manipular livros, cartazes, revistas e outros materiais. - Explorar diferentes tipos de materiais impressos imitando ações e comportamentos típicos de um leitor, como virar a página, apontar as imagens, usar palavras, gestos ou vocalizar na intenção de ler em voz alta o que está escrito. - Manipular e explorar instrumentos tecnológicos como microfone, telefone, dentre outros, percebendo suas funções. - Identificar o uso e a função de alguns recursos tecnológicos e midiáticos, por exemplo, dançando ou cantando quando o(a) professor(a) pega um CD, encenando frente a uma filmadora ou fazendo pose frente a uma máquina fotográfica.",0.6634852,66.3%,55.00000000000001%,2025-09-02 15:50:02
3,(EI03CO03),PENSAMENTO COMPUTACIONAL,(EI03CO03) Experienciar a execução de algoritmos brincando com objetos (des)plugados.,"Computação plugada:
1) Experienciar a execução de algoritmos por meio de
(i) jogos digitais (e.g. Follow the Code: https://www.mathplayground.com/follow_the_code.html);
(ii) brinquedos robóticos (e.g. Rope: http://smartfunbrasil.com/).
Computação desplugada:
1) Experienciar a execução de algoritmos por meio de percursos realizados a partir de desenhos no chão (ou
maquetes) como, por exemplo:
(i) jogos de labirinto;
(ii) amarelinha;
(iii) sequências de números;
(iv) sequências de cores;
2) Experienciar a execução de algoritmos por meio de atividades manuais (e.g. dobraduras, bordado, costura).
Exemplo: Executar o seguinte algoritmo
Passo (1) - Pegar uma folha de papel sulfite;
Passo (2) - Dobrar esta folha ao meio;
Passo (3) - Dobrar novamente ao meio;
Passo (4) - Dobrar novamente ao meio;
Avaliar o resultado refletindo sobre: (a) Quantas vezes pode-se repetir este passo? e (b) Existem formas
diferentes de dobrar o papel ao meio?",175,(EI01ET04),"ESPAÇOS, TEMPOS, QUANTIDADES, RELAÇÕES","(EI01ET04) Manipular, experimentar, arrumar e explorar o espaço por meio de experiências de deslocamentos de si e dos objetos.","Explorar elementos presentes no espaço percebendo suas características e possibilidades.  Brincar de deslocar elementos em um espaço como puxar carrinhos amarrados com barbante, empurrar carrinhos de boneca ou de supermercados, deslocar materiais de um lado para outro, etc.  Movimentar-se de forma a explorar os espaços da instituição de forma autônoma e participativa.  Deslocar-se de diferentes formas: engatinhando, andando, rolando, arrastando-se.  Lançar objetos.  Acompanhar com os olhos os movimentos dos materiais e usar o corpo para explorar o espaço, virando-se para diferentes lados ou arrastando-se.  Ajudar a organizar brinquedos e outros objetos nos seus respectivos espaços.  Participar de situações que envolvam a resolução de problemas (superar desafios, passar por obstáculos, etc.).",0.6522148,65.2%,55.00000000000001%,2025-09-02 15:50:02
3,(EI03CO03),PENSAMENTO COMPUTACIONAL,(EI03CO03) Experienciar a execução de algoritmos brincando com objetos (des)plugados.,"Computação plugada:
1) Experienciar a execução de algoritmos por meio de
(i) jogos digitais (e.g. Follow the Code: https://www.mathplayground.com/follow_the_code.html);
(ii) brinquedos robóticos (e.g. Rope: http://smartfunbrasil.com/).
Computação desplugada:
1) Experienciar a execução de algoritmos por meio de percursos realizados a partir de desenhos no chão (ou
maquetes) como, por exemplo:
(i) jogos de labirinto;
(ii) amarelinha;
(iii) sequências de números;
(iv) sequências de cores;
2) Experienciar a execução de algoritmos por meio de atividades manuais (e.g. dobraduras, bordado, costura).
Exemplo: Executar o seguinte algoritmo
Passo (1) - Pegar uma folha de papel sulfite;
Passo (2) - Dobrar esta folha ao meio;
Passo (3) - Dobrar novamente ao meio;
Passo (4) - Dobrar novamente ao meio;
Avaliar o resultado refletindo sobre: (a) Quantas vezes pode-se repetir este passo? e (b) Existem formas
diferentes de dobrar o papel ao meio?",252,(EI02ET04ME01),"ESPAÇOS, TEMPOS, QUANTIDADES, RELAÇÕES","(EI02ET04ME01) Narrar ações e movimentos realizados no espaço e no tempo, nomeando as relações espaciais e temporais que vivenciam no cotidiano.","• Conhecer os diferentes espaços da escola por meio de explorações que promovam a identificação de relações espaciais. • Explorar o espaço escolar e do entorno, identificando a localização de seus elementos. • Realizar circuitos subindo, descendo, andando para frente e para trás, dentre outros. • Encontrar objetos ou brinquedos desejados nas situações de brincadeiras ou a partir de orientações do(a) professor(a) sobre a sua localização. • Compreender e realizar comandos do professor: dentro, fora, em cima, embaixo, ao lado, à frente, atrás, etc., identificando essas posições no espaço (usando material como caixa para entrar e sair dela, ficar à frente e atrás, etc.). • Participar de situações diversas dentro e fora da sala que envolvam as noções topológicas. • Perceber situações de relação temporal: antes, durante e depois em situações rotineiras (depois do lanche vamos escovar os dentes, durante a brincadeira vamos comer uma fruta, antes de ir ao parque precisamos arrumar a sala). • Identificar os momentos da rotina e conversar sobre os acontecimentos do dia utilizando expressões temporais como antes, durante e depois. • Conversar sobre os acontecimentos do dia fazendo uso de expressões temporais como antes, durante e depois. • Participar de momentos de exploração dos dias da semana com músicas.",0.64463395,64.5%,55.00000000000001%,2025-09-02 15:50:02
3,(EI03CO03),PENSAMENTO COMPUTACIONAL,(EI03CO03) Experienciar a execução de algoritmos brincando com objetos (des)plugados.,"Computação plugada:
1) Experienciar a execução de algoritmos por meio de
(i) jogos digitais (e.g. Follow the Code: https://www.mathplayground.com/follow_the_code.html);
(ii) brinquedos robóticos (e.g. Rope: http://smartfunbrasil.com/).
Computação desplugada:
1) Experienciar a execução de algoritmos por meio de percursos realizados a partir de desenhos no chão (ou
maquetes) como, por exemplo:
(i) jogos de labirinto;
(ii) amarelinha;
(iii) sequências de números;
(iv) sequências de cores;
2) Experienciar a execução de algoritmos por meio de atividades manuais (e.g. dobraduras, bordado, costura).
Exemplo: Executar o seguinte algoritmo
Passo (1) - Pegar uma folha de papel sulfite;
Passo (2) - Dobrar esta folha ao meio;
Passo (3) - Dobrar novamente ao meio;
Passo (4) - Dobrar novamente ao meio;
Avaliar o resultado refletindo sobre: (a) Quantas vezes pode-se repetir este passo? e (b) Existem formas
diferentes de dobrar o papel ao meio?",251,(EI02ET04),"ESPAÇOS, TEMPOS, QUANTIDADES, RELAÇÕES","(EI02ET04) Identificar relações espaciais (dentro e fora, em cima, embaixo, acima, abaixo, entre e do lado) e temporais (antes, durante e depois).","• Conhecer os diferentes espaços da escola por meio de explorações que promovam a identificação de relações espaciais. • Explorar o espaço escolar e do entorno, identificando a localização de seus elementos. • Realizar circuitos subindo, descendo, andando para frente e para trás, dentre outros. • Encontrar objetos ou brinquedos desejados nas situações de brincadeiras ou a partir de orientações do(a) professor(a) sobre a sua localização. • Compreender e realizar comandos do professor: dentro, fora, em cima, embaixo, ao lado, à frente, atrás, etc., identificando essas posições no espaço (usando material como caixa para entrar e sair dela, ficar à frente e atrás, etc.). • Participar de situações diversas dentro e fora da sala que envolvam as noções topológicas. • Perceber situações de relação temporal: antes, durante e depois em situações rotineiras (depois do lanche vamos escovar os dentes, durante a brincadeira vamos comer uma fruta, antes de ir ao parque precisamos arrumar a sala). • Identificar os momentos da rotina e conversar sobre os acontecimentos do dia utilizando expressões temporais como antes, durante e depois. • Conversar sobre os acontecimentos do dia fazendo uso de expressões temporais como antes, durante e depois. • Participar de momentos de exploração dos dias da semana com músicas.",0.6375257,63.8%,55.00000000000001%,2025-09-02 15:50:02
