BNCC_Indice,BNCC_Codigo,BNCC_Eixo,BNCC_Objetivo,BNCC_Exemplos,Curriculo_Indice,Curriculo_Codigo,Curriculo_Eixo,Curriculo_Objetivo,Curriculo_Exemplos,Similaridade,Similaridade_Percentual,Nota_Corte_Usada,Busca_Adaptativa,Data_Analise
1,(EF69CO01),PENSAMENTO COMPUTACIONAL,"(EF69CO01) Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’.","As informações são armazenadas de diferentes maneiras, dependendo do tipo de dado que ela representa. Basicamente existem três tipos primitivos de dados: inteiros, real e string.",1221,(EF69LP32),PORTUGUÊS,"(EF69LP32) Selecionar informações e dados relevantes de fontes diversas (impressas, digitais, orais etc.), avaliando a qualidade e a utilidade dessas fontes, e organizar, esquematicamente, com ajuda do professor, as informações necessárias (sem excedê-las) com ou sem apoio de ferramentas digitais, em quadros, tabelas ou gráficos.","Trabalhar texto informativo, retirando dele suas principais informações para, a partir de então, solicitar ao aluno que as organize em forma de gráficos e infográficos.",0.6991616,69.9%,69.0%,Sim,2025-09-04 15:01:39
1,(EF69CO01),PENSAMENTO COMPUTACIONAL,"(EF69CO01) Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’.","As informações são armazenadas de diferentes maneiras, dependendo do tipo de dado que ela representa. Basicamente existem três tipos primitivos de dados: inteiros, real e string.",1328,(EF69LP32),PORTUGUÊS,"(EF69LP32) Selecionar informações e dados relevantes de fontes diversas (impressas, digitais, orais etc.), avaliando a qualidade e a utilidade dessas fontes, e organizar, esquematicamente, com ajuda do professor, as informações necessárias (sem excedê-las) com ou sem apoio de ferramentas digitais, em quadros, tabelas ou gráficos.",Apresentar textos aos alunos para que sejam identificadas e organizadas em gráficos e tabelas as informações principais. Fazer a leitura e interpretação de infográficos e gráficos referentes a determinado assunto e pedir aos alunos que reescrevam essas informações em um texto exclusivamente verbal.,0.6900617,69.0%,69.0%,Sim,2025-09-04 15:01:39
2,(EF69CO02),PENSAMENTO COMPUTACIONAL,"(EF69CO02) Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.","Existem diferentes linguagens de programação que podem ser usadas para descrever algoritmos em diferentes níveis de abstração, como linguagens visuais, orientadas a objetos, funcionais, entre outras. Uma ou mais linguagens podem ser escolhidas para serem adotadas.",98,(EF07LI06),INGLÊS,"(EF07LI06) Antecipar o sentido global de textos em língua inglesa por inferências, com base em leitura rápida, observando títulos, primeiras e últimas frases de parágrafos e palavras-chave repetidas.","Selecionar textos com linguagem mista (verbal e não verbal), cujas temáticas estejam articuladas com a ideia da língua inglesa. Oferecer textos autênticos, envolvendo o contato com gêneros escritos multimodais que circulem nos diversos campos e esferas sociais.",0.7058561,70.6%,70.0%,Sim,2025-09-04 15:01:39
2,(EF69CO02),PENSAMENTO COMPUTACIONAL,"(EF69CO02) Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.","Existem diferentes linguagens de programação que podem ser usadas para descrever algoritmos em diferentes níveis de abstração, como linguagens visuais, orientadas a objetos, funcionais, entre outras. Uma ou mais linguagens podem ser escolhidas para serem adotadas.",1549,(EF69LP42B),PORTUGUÊS,"(EF69LP42B) Reconhecer traços da linguagem dos textos de divulgação científica, fazendo uso consciente das estratégias de impessoalização da linguagem (ou de pessoalização, se o tipo de publicação e objetivos assim o demandarem, como em alguns podcasts e vídeos de divulgação científica), 3ª pessoa, presente atemporal, recurso à citação, uso de vocabulário técnico/especializado etc., como forma de ampliar suas capacidades de compreensão e produção de textos nesses gêneros.","Realizar um trabalho de análise da linguagem utilizada nos textos de divulgação científica, percebendo marcas de impessoalidade, uso de forma verbal que não especifica o tempo, uso de termos técnicos e científicos, citação de ideias e conceitos de outros autores (como forma de enriquecer e dar credibilidade ao texto). Essa análise possibilitará aos alunos uma maior compreensão dos textos científicos e embasará suas próprias produções.",0.70008373,70.0%,70.0%,Sim,2025-09-04 15:01:39
3,(EF69CO03),PENSAMENTO COMPUTACIONAL,"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.","É importante que se consiga expressar a solução do problema (algoritmo) em português, compreendendo que o programa é apenas uma descrição deste algoritmo em uma linguagem de programação. O aluno precisa entender que o mais importante é a construção do algoritmo. Notem que a ideia aqui não é apenas descrever as linhas de código em português, mas sim descrever em um alto nível de abstração como o problema é resolvido.",1540,(EF89LP29AX),PORTUGUÊS,"(EF89LP29AX) Identificar mecanismos de progressão temática, tais como retomadas anafóricas, catafóricas, uso de organizadores textuais e coesivos etc.","Apresentar textos para serem destacados os recursos de coesão neles existentes, identificando sua importância para a continuidade das ideias, da sequência lógica e da compreensão. Realizar fixação através de textos com lacunas para que os alunos possam utilizar esses recursos, completando, assim, o sentido do texto.",0.70725965,70.7%,70.0%,Sim,2025-09-04 15:01:39
3,(EF69CO03),PENSAMENTO COMPUTACIONAL,"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.","É importante que se consiga expressar a solução do problema (algoritmo) em português, compreendendo que o programa é apenas uma descrição deste algoritmo em uma linguagem de programação. O aluno precisa entender que o mais importante é a construção do algoritmo. Notem que a ideia aqui não é apenas descrever as linhas de código em português, mas sim descrever em um alto nível de abstração como o problema é resolvido.",342,(EF89LP29AX),PORTUGUÊS,"(EF89LP29AX) Identificar mecanismos de progressão temática, tais como retomadas anafóricas, catafóricas, uso de organizadores textuais, de coesivos etc.","Apresentar textos para serem destacados os recursos de coesão neles existentes, identificando sua importância para a continuidade das ideias, da sequência lógica e da compreensão. Realizar fixação através de textos com lacunas para que os alunos possam utilizar esses recursos, completando, assim, o sentido do texto.",0.7007293,70.1%,70.0%,Sim,2025-09-04 15:01:39
3,(EF69CO03),PENSAMENTO COMPUTACIONAL,"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.","É importante que se consiga expressar a solução do problema (algoritmo) em português, compreendendo que o programa é apenas uma descrição deste algoritmo em uma linguagem de programação. O aluno precisa entender que o mais importante é a construção do algoritmo. Notem que a ideia aqui não é apenas descrever as linhas de código em português, mas sim descrever em um alto nível de abstração como o problema é resolvido.",343,(EF89LP29AX),PORTUGUÊS,"(EF89LP29AX) Identificar mecanismos de progressão temática, tais como retomadas anafóricas, catafóricas, uso de organizadores textuais, de coesivos etc.","Apresentar textos para serem destacados os recursos de coesão neles existentes, identificando sua importância para a continuidade das ideias, da sequência lógica e da compreensão. Realizar fixação através de textos com lacunas para que os alunos possam utilizar esses recursos, completando, assim, o sentido do texto.",0.7007293,70.1%,70.0%,Sim,2025-09-04 15:01:39
3,(EF69CO03),PENSAMENTO COMPUTACIONAL,"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.","É importante que se consiga expressar a solução do problema (algoritmo) em português, compreendendo que o programa é apenas uma descrição deste algoritmo em uma linguagem de programação. O aluno precisa entender que o mais importante é a construção do algoritmo. Notem que a ideia aqui não é apenas descrever as linhas de código em português, mas sim descrever em um alto nível de abstração como o problema é resolvido.",1287,(EF89LP29AX),PORTUGUÊS,"(EF89LP29AX) Identificar mecanismos de progressão temática, tais como retomadas anafóricas, catafóricas, uso de organizadores textuais, de coesivos etc.","Apresentar textos para serem destacados os recursos de coesão neles existentes, identificando sua importância para a continuidade das ideias, da sequência lógica e da compreensão. Realizar fixação através de textos com lacunas para que os alunos possam utilizar esses recursos, completando, assim, o sentido do texto.",0.7007293,70.1%,70.0%,Sim,2025-09-04 15:01:39
3,(EF69CO03),PENSAMENTO COMPUTACIONAL,"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.","É importante que se consiga expressar a solução do problema (algoritmo) em português, compreendendo que o programa é apenas uma descrição deste algoritmo em uma linguagem de programação. O aluno precisa entender que o mais importante é a construção do algoritmo. Notem que a ideia aqui não é apenas descrever as linhas de código em português, mas sim descrever em um alto nível de abstração como o problema é resolvido.",1444,(EF89LP29AX),PORTUGUÊS,"(EF89LP29AX) Identificar mecanismos de progressão temática, tais como retomadas anafóricas, catafóricas, uso de organizadores textuais, de coesivos etc.","Apresentar textos para serem destacados os recursos de coesão neles existentes, identificando sua importância para a continuidade das ideias, da sequência lógica e da compreensão. Realizar fixação através de textos com lacunas para que os alunos possam utilizar esses recursos, completando, assim, o sentido do texto.",0.7007293,70.1%,70.0%,Sim,2025-09-04 15:01:39
4,(EF69CO04),PENSAMENTO COMPUTACIONAL,(EF69CO04) Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,"Decomposição é uma das principais técnicas de resolução de problemas, onde um problema é dividido em subproblemas, os quais são resolvidos independentemente, e cujas soluções são combinadas para construir a solução do problema original. Algumas vantagens da decomposição são: permitir uma melhor organização e visualização do problema e da solução; facilitar o trabalho em grupo; permitir que possamos reutilizar as soluções dos subproblemas em outros problemas.",893,(EF67EF05P2),EDUCAÇÃO FÍSICA,"(EF67EF05P2) Planejar e utilizar estratégias para solucionar os desafios técnicos e táticos, tanto nos esportes de invasão e técnico- combinatórios como nas modalidades esportivas escolhidas para praticar de forma específica.","Proporcionar a vivência do esporte de maneira prazerosa nas atividades de Educação Física. Estimular a prática e a compreensão do esporte como opção de lazer dentro e fora do ambiente escolar. Refletir e criar estratégias pedagógicas para contribuir e consolidar a aprendizagem a partir de apresentações de vídeos, de diálogos e de relatos das experiências dos alunos. Esportes de Rede: voleibol.  Utilizar jogo pré-desportivo para o desenvolvimento da modalidade.",0.7117944,71.2%,71.0%,Sim,2025-09-04 15:01:39
