BNCC_Indice,BNCC_Codigo,BNCC_Eixo,BNCC_Objetivo,BNCC_Exemplos,Curriculo_Indice,Curriculo_Codigo,Curriculo_Eixo,Curriculo_Objetivo,Curriculo_Exemplos,Similaridade,Similaridade_Percentual,Nota_Corte_Usada,Busca_Adaptativa,Data_Analise
1,(EF01CO01),PENSAMENTO COMPUTACIONAL,"(EF01CO01) Organizar objetos físicos ou digitais considerando diferentes características para esta organização, explicitando semelhanças (padrões) e diferenças.","Objetos de um mesmo conjunto podem ser organizados
e agrupados de diferentes maneiras, enfatizando as características desejadas. A organização adequada pode facilitar a busca por um objeto específico dentro deste conjunto.",694,(EF15LP11),LÍNGUA PORTUGUESA,"(EF15LP11) Reconhecer características da conversação espontânea presencial, respeitando os turnos de fala, selecionando e utilizando, durante a conversação, formas de tratamento adequadas, de acordo com a situação e a posição do interlocutor.","Esta habilidade é fundamental para desenvolver o convívio cotidiano, fora e dentro da escola; refere- se a saber organizar a fala no gênero indicado, considerando as características do contexto no qual está sendo produzida: a organização em tantos turnos quantos forem os interlocutores; a efetividade da compreensão mútua, a qual depende da escuta efetiva do outro, como balizador da organização da próxima fala; as escolhas dos recursos textuais e paratextuais, que precisam ser adequadas às intenções de significação e ao contexto da situação de comunicação. O professor pode propor atividades que contemplem diferentes tipos de conversação, em diferentes situações comunicativas. Gravações em áudio e/ou vídeo dessas conversas permitem a análise dos mais variados fatores que podem interferir na fluidez e na eficácia dos eventos registrados.",0.6612458,66.1%,66.0%,Sim,2025-09-04 14:20:06
2,(EF01CO02),PENSAMENTO COMPUTACIONAL,(EF01CO02) Identificar e seguir sequências de passos aplicados no dia a dia para resolver problemas.,"O objetivo é que os alunos possam identificar passos que fazem parte da execução de uma tarefa, bem como seguir uma sequência de passos para realizar uma tarefa (resolver um problema).",80,(EF01LP01),LÍNGUA PORTUGUESA,(EF01LP01) Reconhecer que textos são lidos e escritos da esquerda para a direita e de cima para baixo da página. ,"Professor, faça leitura, em voz alta, de materiais impressos e digitais, apontando o que está sendo lido. Use também o quadro para realizar atividades fazendo margem e linha semelhante ao caderno do aluno, facilitando essa percepção.",0.6847074,68.5%,68.0%,Sim,2025-09-04 14:20:06
3,(EF01CO03),PENSAMENTO COMPUTACIONAL,"(EF01CO03) Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra ‘Algoritmos’.","Ao explicar para alguém como realizar uma tarefa (resolver um problema), se está criando um algoritmo.
Esses algoritmos podem ser construídos a partir de um conjunto de passos desordenados, onde o aluno deve identificar a sequência em que esses passos devem ser executados, ou podem ser construídos partindo do zero, na qual esses passos também devem ser determinados, além da sequência desses. Pode-se usar linguagem textual, oral ou pictográfica para descrever os passos de um algoritmo.",281,(EF02LP16BX),LÍNGUA PORTUGUESA,"(EF02LP16BX) Identificar e reproduzir, em bilhetes, receitas (modo de fazer) e relatos (digitais ou impressos), a  formatação e diagramação específica de cada um desses gêneros.","Proporcionar aos estudantes situações de leitura desses textos por meio das quais eles possam investigá-los para perceber regularidades, sobretudo no que respeita à formatação e à diagramação desses textos. Assim, no momento de produzi-los, serão capazes de reproduzir de forma adequada essas especificidades, apropriando-se desses gêneros textuais. Portanto, é essencial que as atividades sejam propostas em uma sequência didática que articule práticas de leitura, de oralidade e de produção desses textos. No caso dos bilhetes, é possível criar o “correio da turma” para que troquem bilhetes entre si. ",0.7560612,75.6%,75.0%,Sim,2025-09-04 14:20:06
3,(EF01CO03),PENSAMENTO COMPUTACIONAL,"(EF01CO03) Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra ‘Algoritmos’.","Ao explicar para alguém como realizar uma tarefa (resolver um problema), se está criando um algoritmo.
Esses algoritmos podem ser construídos a partir de um conjunto de passos desordenados, onde o aluno deve identificar a sequência em que esses passos devem ser executados, ou podem ser construídos partindo do zero, na qual esses passos também devem ser determinados, além da sequência desses. Pode-se usar linguagem textual, oral ou pictográfica para descrever os passos de um algoritmo.",535,(EF15LP07),LÍNGUA PORTUGUESA,"(EF15LP07) Editar a versão final do texto, em colaboração com os colegas e com a ajuda do professor, ilustrando, quando for o caso, em suporte adequado, manual ou digital.","O foco da habilidade incide sobre os cuidados com a circulação/publicação do texto em suportes impressos ou digitais. Editar, nesse caso, consiste em dar os toques finais à versão final de um texto produzido no que diz respeito à sua estruturação e também nos elementos que o rodeiam, seja em suporte manual ou digital. Pode-se, ainda, pensar em critérios como o suporte em jogo, os recursos e as ferramentas de edição a serem utilizados, o grau de autonomia do estudante na realização da tarefa etc que envolvam o uso de ferramentas digitais.O foco da habilidade incide sobre os cuidados com a circulação/publicação do texto em suportes impressos ou digitais. ",0.752105,75.2%,75.0%,Sim,2025-09-04 14:20:06
4,(EF01CO04),MUNDO DIGITAL,"(EF01CO04) Reconhecer o que é a informação, que ela pode ser armazenada, transmitida como mensagem por diversos meios e descrita em várias linguagens.","O objetivo é fazer com que o aluno compreenda o conceito de informação, que uma mesma informação pode ser descrita de diversas formas (usando linguagem oral, imagens, sons etc.) e que tal descrição pode ser armazenada e transmitida. Por exemplo, a informação sobre a existência de um cachorro pode ser representada como uma imagem ou como o som de seu latido, que pode ser transmitida repassando a folha com a imagem para outra pessoa ou reproduzindo o som para outra pessoa (como na brincadeira telefone sem fio) e depois pode ser armazenada em uma pasta ou gravação.",173,(EF01LP23),LÍNGUA PORTUGUESA,"(EF01LP23) Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, entrevistas, curiosidades, dentre outros gêneros do campo investigativo, que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando a situação comunicativa e o tema/assunto/finalidade do texto.","O campo de atuação da habilidade é o das práticas de estudo e pesquisa. Essa habilidade possibilita a ampliação das práticas de letramento digital pelos estudantes, uma vez que propõe que esses textos sejam repassados oralmente por meio de ferramentas digitais. Por exemplo, numa atividade de entrevistas, estas podem ser filmadas e assistidas pela turma. Vale destacar que o planejamento desses textos é parte importante dessa habilidade. No caso da entrevista, é preciso definir o entrevistado, as perguntas, o texto de apresentação do entrevistado e do assunto da entrevista, junto com o professor. ",0.7429429,74.3%,74.0%,Sim,2025-09-04 14:20:06
5,(EF01CO05),MUNDO DIGITAL,(EF01CO05) Representar informação usando diferentes codificações.,"Compreender o conceito de representação é um passo importante para a compreensão de como computadores representam as informações e simulam comportamentos, além de ser habilidade importante para o desenvolvimento e uso de abstrações. Um algoritmo executado por um computador opera dados representados de maneira simbólica. Por exemplo, uma imagem pode ser representada por uma grade formada por pequenos quadrados (pixels), cada qual com um número que representa sua cor (por exemplo, 0 branco e 1 preto). Sons podem ser representados por notas musicais etc.",173,(EF01LP23),LÍNGUA PORTUGUESA,"(EF01LP23) Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, entrevistas, curiosidades, dentre outros gêneros do campo investigativo, que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando a situação comunicativa e o tema/assunto/finalidade do texto.","O campo de atuação da habilidade é o das práticas de estudo e pesquisa. Essa habilidade possibilita a ampliação das práticas de letramento digital pelos estudantes, uma vez que propõe que esses textos sejam repassados oralmente por meio de ferramentas digitais. Por exemplo, numa atividade de entrevistas, estas podem ser filmadas e assistidas pela turma. Vale destacar que o planejamento desses textos é parte importante dessa habilidade. No caso da entrevista, é preciso definir o entrevistado, as perguntas, o texto de apresentação do entrevistado e do assunto da entrevista, junto com o professor. ",0.6979741,69.8%,69.0%,Sim,2025-09-04 14:20:06
5,(EF01CO05),MUNDO DIGITAL,(EF01CO05) Representar informação usando diferentes codificações.,"Compreender o conceito de representação é um passo importante para a compreensão de como computadores representam as informações e simulam comportamentos, além de ser habilidade importante para o desenvolvimento e uso de abstrações. Um algoritmo executado por um computador opera dados representados de maneira simbólica. Por exemplo, uma imagem pode ser representada por uma grade formada por pequenos quadrados (pixels), cada qual com um número que representa sua cor (por exemplo, 0 branco e 1 preto). Sons podem ser representados por notas musicais etc.",535,(EF15LP07),LÍNGUA PORTUGUESA,"(EF15LP07) Editar a versão final do texto, em colaboração com os colegas e com a ajuda do professor, ilustrando, quando for o caso, em suporte adequado, manual ou digital.","O foco da habilidade incide sobre os cuidados com a circulação/publicação do texto em suportes impressos ou digitais. Editar, nesse caso, consiste em dar os toques finais à versão final de um texto produzido no que diz respeito à sua estruturação e também nos elementos que o rodeiam, seja em suporte manual ou digital. Pode-se, ainda, pensar em critérios como o suporte em jogo, os recursos e as ferramentas de edição a serem utilizados, o grau de autonomia do estudante na realização da tarefa etc que envolvam o uso de ferramentas digitais.O foco da habilidade incide sobre os cuidados com a circulação/publicação do texto em suportes impressos ou digitais. ",0.6942236,69.4%,69.0%,Sim,2025-09-04 14:20:06
6,(EF01CO06),CULTURA DIGITAL,(EF01CO06) Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.,"Esta habilidade tem como proposta a identificação e exploração de tecnologias físicas ou digitais, como por exemplo computador, tablets, brinquedos eletrônicos, ferramentas do cotidiano (martelo, alavancas, rampa).",173,(EF01LP23),LÍNGUA PORTUGUESA,"(EF01LP23) Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, entrevistas, curiosidades, dentre outros gêneros do campo investigativo, que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando a situação comunicativa e o tema/assunto/finalidade do texto.","O campo de atuação da habilidade é o das práticas de estudo e pesquisa. Essa habilidade possibilita a ampliação das práticas de letramento digital pelos estudantes, uma vez que propõe que esses textos sejam repassados oralmente por meio de ferramentas digitais. Por exemplo, numa atividade de entrevistas, estas podem ser filmadas e assistidas pela turma. Vale destacar que o planejamento desses textos é parte importante dessa habilidade. No caso da entrevista, é preciso definir o entrevistado, as perguntas, o texto de apresentação do entrevistado e do assunto da entrevista, junto com o professor. ",0.61638516,61.6%,61.0%,Sim,2025-09-04 14:20:06
6,(EF01CO06),CULTURA DIGITAL,(EF01CO06) Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.,"Esta habilidade tem como proposta a identificação e exploração de tecnologias físicas ou digitais, como por exemplo computador, tablets, brinquedos eletrônicos, ferramentas do cotidiano (martelo, alavancas, rampa).",688,(EF15LP07),LÍNGUA PORTUGUESA,"(EF15LP07) Editar a versão final do texto, em colaboração com os colegas e com a ajuda do professor, ilustrando, quando for o caso, em suporte adequado, manual ou digital.","O foco da habilidade incide sobre os cuidados com a circulação/publicação do texto em suportes impressos ou digitais. Editar, nesse caso, consiste em dar os toques finais à versão final de um texto produzido no que diz respeito à sua estruturação e também nos elementos que o rodeiam, seja em suporte manual ou digital.",0.61373824,61.4%,61.0%,Sim,2025-09-04 14:20:06
7,(EF01CO07),CULTURA DIGITAL,(EF01CO07) Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,"Esta habilidade propõe que o aluno possa refletir sobre a importância de resguardar dados pessoais como nome, endereço, idade, onde estuda, quando da utilização de tecnologias como celular, tablets, em que não se pode compartilhar essas informações com qualquer pessoa.",899,(EF05LP17),LÍNGUA PORTUGUESA,"(EF05LP17) Produzir roteiro para edição de uma reportagem digital sobre temas de interesse da turma, a partir de buscas de informações, imagens, áudios e vídeos na internet, de acordo com as convenções do gênero e considerando a situação comunicativa e o tema/assunto do texto.","Esta habilidade prevê a produção de textos para reportagem digital, o que envolve organizar as ideias e utilizar as informações coletadas por pesquisa para depois escrevê-las. É possível prever a abordagem de temáticas relevantes socialmente e do interesse do estudante, como eventos esportivos, espaços de lazer disponíveis para crianças na região. Ações a serem realizadas visando o desenvolvimento sustentável da cidade, o papel da tecnologia digital no município, a disponibilidade de equipamentos públicos e seu uso pelos cidadãos, a condição do transporte público local, entre outras. A habilidade pode se desdobrar no estudo do gênero e da situação comunicativa em que a produção irá circular, na análise de ambientes digitais como: sites, blogs e páginas de jornais on-line para repertoriar a produção e roteiro.",0.68442565,68.4%,68.0%,Sim,2025-09-04 14:20:06
