bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade,nota_corte_usada
1,(EF69CO01),"(EF69CO01) Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’.",1221,(EF69LP32),0.6991616,0.6899999999999997
1,(EF69CO01),"(EF69CO01) Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’.",1540,(EF89LP29AX),0.66034484,0.6899999999999997
2,(EF69CO02),"(EF69CO02) Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.",98,(EF07LI06),0.7058561,0.6999999999999997
2,(EF69CO02),"(EF69CO02) Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.",1549,(EF69LP42B),0.70008373,0.6999999999999997
2,(EF69CO02),"(EF69CO02) Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.",1160,(EF67LP25),0.6796456,0.6999999999999997
3,(EF69CO03),"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",1550,(EF89LP21X),0.6889391,0.6799999999999997
3,(EF69CO03),"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",344,(EF89LP29CX),0.68170816,0.6799999999999997
3,(EF69CO03),"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",893,(EF67EF05P2),0.6512482,0.6799999999999997
4,(EF69CO04),(EF69CO04) Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,874,(EF67EF05P1),0.7031379,0.6999999999999997
4,(EF69CO04),(EF69CO04) Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,1222,(EF67LP16X),0.6803144,0.6999999999999997
4,(EF69CO04),(EF69CO04) Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,881,(EF67EF06),0.66812223,0.6999999999999997
5,(EF69CO05),"(EF69CO05) Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída.",1504,(EF89LP16),0.70545363,0.6999999999999997
5,(EF69CO05),"(EF69CO05) Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída.",57,(EF06MA03X),0.70413816,0.6999999999999997
5,(EF69CO05),"(EF69CO05) Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída.",1086,(EF67LP14DX),0.67997277,0.6999999999999997
6,(EF69CO06),"(EF69CO06) Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica.",1061,(EF69LP34B),0.67414594,0.6699999999999997
6,(EF69CO06),"(EF69CO06) Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica.",1119,(EF69LP25),0.64191437,0.6699999999999997
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",1555,(EF69LP35BX),0.7198254,0.7099999999999997
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",1251,(EF69LP39BX),0.7165139,0.7099999999999997
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",1616,(EF08LI05),0.66106474,0.7099999999999997
8,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",146,(EF67LP36),0.6630898,0.6599999999999997
8,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",1386,(EF69LP18X),0.6544162,0.6599999999999997
