bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade
1,(EF01CO01),"(EF01CO01) Organizar objetos físicos ou digitais considerando diferentes características para esta organização, explicitando semelhanças (padrões) e diferenças.",694,(EF15LP11),0.6612458
2,(EF01CO02),(EF01CO02) Identificar e seguir sequências de passos aplicados no dia a dia para resolver problemas.,80,(EF01LP01),0.6847074
3,(EF01CO03),"(EF01CO03) Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra ‘Algoritmos’.",281,(EF02LP16BX),0.7560612
3,(EF01CO03),"(EF01CO03) Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra ‘Algoritmos’.",535,(EF15LP07),0.752105
4,(EF01CO04),"(EF01CO04) Reconhecer o que é a informação, que ela pode ser armazenada, transmitida como mensagem por diversos meios e descrita em várias linguagens.",173,(EF01LP23),0.7429429
5,(EF01CO05),(EF01CO05) Representar informação usando diferentes codificações.,173,(EF01LP23),0.6979741
5,(EF01CO05),(EF01CO05) Representar informação usando diferentes codificações.,535,(EF15LP07),0.6942236
6,(EF01CO06),(EF01CO06) Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.,173,(EF01LP23),0.61638516
6,(EF01CO06),(EF01CO06) Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.,688,(EF15LP07),0.61373824
7,(EF01CO07),(EF01CO07) Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,899,(EF05LP17),0.68442565
7,(EF01CO07),(EF01CO07) Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,900,(EF05LP17),0.68442565
7,(EF01CO07),(EF01CO07) Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,901,(EF05LP17),0.68442565
8,(EF02CO01),"(EF02CO01) Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais.",100,(EF01LP03),0.6429973
8,(EF02CO01),"(EF02CO01) Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais.",124,(EF01LP03),0.6429973
9,(EF02CO02),"(EF02CO02) Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, construídos como sequências com repetições simples (iterações definidas) com base em instruções preestabelecidas ou criadas, analisando como a precisão da instrução impacta na execução do algoritmo.",283,(EF02LP25),0.80069983
10,(EF02CO03),(EF02CO03) Identificar que máquinas diferentes executam conjuntos próprios de instruções e que podem ser usadas para definir algoritmos.,910,(EF05LP23),0.6442828
10,(EF02CO03),(EF02CO03) Identificar que máquinas diferentes executam conjuntos próprios de instruções e que podem ser usadas para definir algoritmos.,955,(EF05MA25),0.64298487
11,(EF02CO04),(EF02CO04) Diferenciar componentes físicos (hardware) e programas que fornecem as instruções (software) para o hardware.,535,(EF15LP07),0.6150656
12,(EF02CO05),(EF02CO05) Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.,899,(EF05LP17),0.6569351
12,(EF02CO05),(EF02CO05) Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.,900,(EF05LP17),0.6569351
12,(EF02CO05),(EF02CO05) Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.,901,(EF05LP17),0.6569351
12,(EF02CO05),(EF02CO05) Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.,743,(EF04LP17),0.6519368
13,(EF02CO06),(EF02CO06) Reconhecer os cuidados com a segurança no uso de dispositivos computacionais.,899,(EF05LP17),0.65791327
13,(EF02CO06),(EF02CO06) Reconhecer os cuidados com a segurança no uso de dispositivos computacionais.,900,(EF05LP17),0.65791327
