bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade,nota_corte_usada
1,(EF01CO01),"(EF01CO01) Organizar objetos físicos ou digitais considerando diferentes características para esta organização, explicitando semelhanças (padrões) e diferenças.",694,(EF15LP11),0.6612457,0.6599999999999997
1,(EF01CO01),"(EF01CO01) Organizar objetos físicos ou digitais considerando diferentes características para esta organização, explicitando semelhanças (padrões) e diferenças.",100,(EF01LP03),0.65394604,0.6599999999999997
1,(EF01CO01),"(EF01CO01) Organizar objetos físicos ou digitais considerando diferentes características para esta organização, explicitando semelhanças (padrões) e diferenças.",768,(EF04MA08),0.6340959,0.6599999999999997
2,(EF01CO02),(EF01CO02) Identificar e seguir sequências de passos aplicados no dia a dia para resolver problemas.,80,(EF01LP01),0.6847074,0.6799999999999997
2,(EF01CO02),(EF01CO02) Identificar e seguir sequências de passos aplicados no dia a dia para resolver problemas.,99,(EF01LP02X),0.6323477,0.6799999999999997
3,(EF01CO03),"(EF01CO03) Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra ‘Algoritmos’.",281,(EF02LP16BX),0.7560612,0.7499999999999998
3,(EF01CO03),"(EF01CO03) Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra ‘Algoritmos’.",535,(EF15LP07),0.752105,0.7499999999999998
3,(EF01CO03),"(EF01CO03) Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra ‘Algoritmos’.",579,(EF03MA01),0.707401,0.7499999999999998
4,(EF01CO04),"(EF01CO04) Reconhecer o que é a informação, que ela pode ser armazenada, transmitida como mensagem por diversos meios e descrita em várias linguagens.",173,(EF01LP23),0.74294305,0.7399999999999998
4,(EF01CO04),"(EF01CO04) Reconhecer o que é a informação, que ela pode ser armazenada, transmitida como mensagem por diversos meios e descrita em várias linguagens.",459,(EF03LP22),0.72021157,0.7399999999999998
5,(EF01CO05),(EF01CO05) Representar informação usando diferentes codificações.,376,(EF02MA07),0.66854125,0.6599999999999997
5,(EF01CO05),(EF01CO05) Representar informação usando diferentes codificações.,920,(EF05LP24),0.6660806,0.6599999999999997
5,(EF01CO05),(EF01CO05) Representar informação usando diferentes codificações.,57,(EF01GE09),0.59416515,0.6599999999999997
6,(EF01CO06),(EF01CO06) Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.,899,(EF05LP17),0.6076263,0.5999999999999996
6,(EF01CO06),(EF01CO06) Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.,292,(EF12LP11),0.6076199,0.5999999999999996
7,(EF01CO07),(EF01CO07) Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,743,(EF04LP17),0.6776111,0.6699999999999997
7,(EF01CO07),(EF01CO07) Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,915,(EF05LP28),0.6405332,0.6699999999999997
8,(EF02CO01),"(EF02CO01) Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais.",162,(EF01MA22X),0.6145222,0.6099999999999997
8,(EF02CO01),"(EF02CO01) Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais.",371,(EF02MA20),0.5922481,0.6099999999999997
8,(EF02CO01),"(EF02CO01) Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais.",525,(EF35LP01),0.5603124,0.6099999999999997
9,(EF02CO02),"(EF02CO02) Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, construídos como sequências com repetições simples (iterações definidas) com base em instruções preestabelecidas ou criadas, analisando como a precisão da instrução impacta na execução do algoritmo.",283,(EF02LP25),0.80069983,0.7999999999999998
