bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade
1,(EI03CG01),"(EI03CG01) Criar com o corpo formas diversificadas de expressão de sentimentos, sensações e emoções, tanto nas situações do cotidiano quanto em brincadeiras, dança, teatro e música.",1,(EI03CG01),0.9999997
1,(EI03CG01),"(EI03CG01) Criar com o corpo formas diversificadas de expressão de sentimentos, sensações e emoções, tanto nas situações do cotidiano quanto em brincadeiras, dança, teatro e música.",82,(EI03CG01),0.940844
1,(EI03CG01),"(EI03CG01) Criar com o corpo formas diversificadas de expressão de sentimentos, sensações e emoções, tanto nas situações do cotidiano quanto em brincadeiras, dança, teatro e música.",84,(EI03CG03),0.8528981
1,(EI03CG01),"(EI03CG01) Criar com o corpo formas diversificadas de expressão de sentimentos, sensações e emoções, tanto nas situações do cotidiano quanto em brincadeiras, dança, teatro e música.",3,(EI03CG03),0.84259677
2,(EI03CG02),"(EI03CG02) Demonstrar controle e adequação do uso de seu corpo em brincadeiras e jogos, escuta e reconto de histórias, atividades artísticas, entre outras possibilidades.",2,(EI03CG02),1.0
2,(EI03CG02),"(EI03CG02) Demonstrar controle e adequação do uso de seu corpo em brincadeiras e jogos, escuta e reconto de histórias, atividades artísticas, entre outras possibilidades.",83,(EI03CG02),0.8896754
2,(EI03CG02),"(EI03CG02) Demonstrar controle e adequação do uso de seu corpo em brincadeiras e jogos, escuta e reconto de histórias, atividades artísticas, entre outras possibilidades.",3,(EI03CG03),0.8103939
3,(EI03CG03),"(EI03CG03) Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.",3,(EI03CG03),0.99999994
3,(EI03CG03),"(EI03CG03) Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.",84,(EI03CG03),0.9303789
3,(EI03CG03),"(EI03CG03) Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.",82,(EI03CG01),0.86263704
3,(EI03CG03),"(EI03CG03) Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.",1,(EI03CG01),0.84259677
3,(EI03CG03),"(EI03CG03) Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.",83,(EI03CG02),0.8142545
3,(EI03CG03),"(EI03CG03) Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.",2,(EI03CG02),0.8103939
4,(EI03CG04),"(EI03CG04) Adotar hábitos de autocuidado relacionados à higiene, alimentação, conforto e aparência.",4,(EI03CG04),1.0
4,(EI03CG04),"(EI03CG04) Adotar hábitos de autocuidado relacionados à higiene, alimentação, conforto e aparência.",85,(EI03CG04),0.8882488
5,(EI03CG05),(EI03CG05) Coordenar suas habilidades manuais no atendimento adequado a seus interesses e necessidades em situações diversas.,5,(EI03CG05),1.0000001
5,(EI03CG05),(EI03CG05) Coordenar suas habilidades manuais no atendimento adequado a seus interesses e necessidades em situações diversas.,86,(EI03CG05),0.9287219
6,(EI03EF01),"(EI03EF01) Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.",6,(EI03EF01),1.0
6,(EI03EF01),"(EI03EF01) Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.",8,(EI03EF01ME02),0.8930207
6,(EI03EF01),"(EI03EF01) Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.",87,(EI03EF01),0.8721913
6,(EI03EF01),"(EI03EF01) Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.",9,(EI01EF23ME03),0.87112653
6,(EI03EF01),"(EI03EF01) Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.",7,(EI03EF01ME01),0.87079644
