bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade,nota_corte_usada
1,BNCC_0,OBJETIVO NÃO ENCONTRADO,128,CURR_127,0.5558226,0.5499999999999996
1,BNCC_0,OBJETIVO NÃO ENCONTRADO,171,CURR_170,0.53406096,0.5499999999999996
1,BNCC_0,OBJETIVO NÃO ENCONTRADO,191,CURR_190,0.5301609,0.5499999999999996
2,BNCC_1,OBJETIVO NÃO ENCONTRADO,211,CURR_210,0.61649364,0.6099999999999997
2,BNCC_1,OBJETIVO NÃO ENCONTRADO,267,CURR_266,0.55672026,0.6099999999999997
3,BNCC_2,OBJETIVO NÃO ENCONTRADO,169,CURR_168,0.6634852,0.6599999999999997
3,BNCC_2,OBJETIVO NÃO ENCONTRADO,168,CURR_167,0.6241855,0.6599999999999997
3,BNCC_2,OBJETIVO NÃO ENCONTRADO,48,CURR_47,0.5967892,0.6599999999999997
4,BNCC_3,OBJETIVO NÃO ENCONTRADO,39,CURR_38,0.6614473,0.6599999999999997
4,BNCC_3,OBJETIVO NÃO ENCONTRADO,34,CURR_33,0.64922094,0.6599999999999997
4,BNCC_3,OBJETIVO NÃO ENCONTRADO,73,CURR_72,0.60419756,0.6599999999999997
5,BNCC_4,OBJETIVO NÃO ENCONTRADO,125,CURR_124,0.61142,0.6099999999999997
5,BNCC_4,OBJETIVO NÃO ENCONTRADO,5,CURR_4,0.5612204,0.6099999999999997
5,BNCC_4,OBJETIVO NÃO ENCONTRADO,45,CURR_44,0.5519902,0.6099999999999997
6,BNCC_5,OBJETIVO NÃO ENCONTRADO,235,CURR_234,0.71562505,0.7099999999999997
6,BNCC_5,OBJETIVO NÃO ENCONTRADO,236,CURR_235,0.6942024,0.7099999999999997
6,BNCC_5,OBJETIVO NÃO ENCONTRADO,144,CURR_143,0.6483554,0.7099999999999997
7,BNCC_6,OBJETIVO NÃO ENCONTRADO,154,CURR_153,0.687295,0.6799999999999997
7,BNCC_6,OBJETIVO NÃO ENCONTRADO,156,CURR_155,0.665278,0.6799999999999997
7,BNCC_6,OBJETIVO NÃO ENCONTRADO,213,CURR_212,0.628106,0.6799999999999997
8,BNCC_7,OBJETIVO NÃO ENCONTRADO,180,CURR_179,0.65481275,0.6499999999999997
8,BNCC_7,OBJETIVO NÃO ENCONTRADO,72,CURR_71,0.620867,0.6499999999999997
8,BNCC_7,OBJETIVO NÃO ENCONTRADO,221,CURR_220,0.6047143,0.6499999999999997
9,BNCC_8,OBJETIVO NÃO ENCONTRADO,175,CURR_174,0.6222278,0.6199999999999997
9,BNCC_8,OBJETIVO NÃO ENCONTRADO,268,CURR_267,0.59314287,0.6199999999999997
9,BNCC_8,OBJETIVO NÃO ENCONTRADO,220,CURR_219,0.5805291,0.6199999999999997
10,BNCC_9,OBJETIVO NÃO ENCONTRADO,71,CURR_70,0.62984526,0.6199999999999997
10,BNCC_9,OBJETIVO NÃO ENCONTRADO,159,CURR_158,0.5911916,0.6199999999999997
10,BNCC_9,OBJETIVO NÃO ENCONTRADO,179,CURR_178,0.57859784,0.6199999999999997
11,BNCC_10,OBJETIVO NÃO ENCONTRADO,130,CURR_129,0.64485645,0.6399999999999997
11,BNCC_10,OBJETIVO NÃO ENCONTRADO,189,CURR_188,0.60161686,0.6399999999999997
11,BNCC_10,OBJETIVO NÃO ENCONTRADO,27,CURR_26,0.59831387,0.6399999999999997
